sample_ID	input	filtered	denoisedF	denoisedR	merged	nonchim
MM-D21-7	17471	16718	16707	16713	16222	15875
MM-D21-8	66323	62885	62740	62804	60828	56469
MM-D21-9	45587	43390	43319	43357	42246	40270
MM-D7-1	38119	36171	36059	36110	35087	32237
MM-D7-10	34169	32397	32302	32341	31327	28622
MM-D7-11	23279	22101	22030	22059	21436	19886
MM-D7-12	46521	44489	44349	44434	43348	40144
MM-D7-2	18907	17883	17824	17858	17303	15872
MM-D7-3	16452	15619	15567	15603	15138	13974
MM-D7-4	20221	19091	19046	19059	18491	16962
MM-D7-5	43928	41964	41837	41869	40663	37083
MM-D7-6	53027	50357	50190	50274	48694	44586
MM-D7-7	45571	43410	43276	43336	41887	38373
MM-D7-8	25161	23673	23597	23639	22916	21130
MM-D7-9	24793	23534	23470	23501	22646	20795
mock-plate1	43131	40312	40185	40291	39718	39580
mock-plate2	33293	30934	30809	30908	30298	30051
mock-plate3	64802	59853	59550	59782	58639	57933
Mreading-D-1-1	47022	45113	45050	45075	44030	42421
Mreading-D-1-2	70944	67150	66965	67083	65100	60448
Mreading-D-1-3	18909	17537	17495	17515	16968	15826
Mreading-D-1-4	65693	62249	62131	62192	60514	57234
Mreading-D-1-5	22436	21143	21114	21130	20583	19078
Mreading-D-1-6	29733	28146	28018	28083	27209	24597
Mreading-D-1-7	37983	34997	34906	34948	33461	30277
Mreading-D-1-8	23504	22466	22431	22451	21964	20656
Mreading-D14-1	22098	20773	20697	20730	19993	18357
Mreading-D14-10	25397	23843	23822	23827	23346	22608
Mreading-D14-11	78562	73933	73794	73852	71996	68581
Mreading-D14-12	94131	87605	87375	87520	85115	80078
Mreading-D14-2	38724	36671	36538	36597	35492	32691
Mreading-D14-3	28135	26588	26464	26547	25750	23479
Mreading-D14-4	36896	34060	33946	34001	32788	30333
Mreading-D14-5	17588	16546	16475	16503	16046	14839
Mreading-D14-6	27742	26121	26108	26108	25605	24826
Mreading-D14-7	18879	17819	17815	17818	17544	17153
Mreading-D14-8	29183	27713	27693	27706	27194	26574
Mreading-D14-9	81215	76771	76731	76740	75215	73330
Mreading-D2-1	35093	33346	33213	33289	32150	28363
Mreading-D2-10	17051	16260	16201	16241	15681	14644
Mreading-D2-11	38808	37011	36912	36965	36037	33790
Mreading-D2-12	35417	33722	33660	33699	32699	30058
Mreading-D2-2	37314	34823	34756	34777	33905	31589
Mreading-D2-3	30715	29051	29010	29021	28257	26852
Mreading-D2-4	47008	44933	44809	44875	43494	39431
Mreading-D2-5	59604	56721	56635	56679	55311	51589
Mreading-D2-6	68995	65663	65566	65593	64014	60334
Mreading-D2-7	45744	43759	43691	43704	42696	40006
Mreading-D2-8	16560	15755	15695	15733	15215	13762
Mreading-D2-9	19651	18480	18445	18462	17940	16752
Mreading-D21-1	22213	20848	20826	20835	20297	19694
Mreading-D21-10	160752	152017	151467	151706	146637	135042
Mreading-D21-11	53622	50397	50189	50312	48322	44745
Mreading-D21-12	16435	15269	15245	15266	14935	14558
Mreading-D21-13	34897	33270	33243	33243	32691	31717
Mreading-D21-14	8355	7826	7825	7824	7694	7511
Mreading-D21-15	24625	22931	22920	22922	22394	21912
Mreading-D21-16	33699	31675	31607	31607	30737	28964
Mreading-D21-2	11026	10374	10373	10372	10191	10011
Mreading-D21-3	2988	2849	2845	2847	2776	2705
Mreading-D21-4	34650	32535	32491	32498	31689	29866
Mreading-D21-5	34469	32658	32630	32631	31947	30726
Mreading-D21-6	21964	20413	20365	20390	19703	18453
Mreading-D21-7	34348	32191	32088	32148	31130	28621
Mreading-D21-8	22723	21180	21111	21143	20392	18710
Mreading-D21-9	30219	28091	28026	28057	27260	25342
Mreading-D7-1	45315	43166	43045	43118	41798	38389
Mreading-D7-10	27511	25820	25749	25756	25035	23088
Mreading-D7-11	29347	27541	27459	27479	26571	24399
Mreading-D7-12	25660	24350	24280	24328	23681	21773
Mreading-D7-2	38221	36301	36181	36243	35252	32499
Mreading-D7-3	28603	26998	26911	26980	26328	24291
Mreading-D7-4	28113	26268	26192	26205	25403	23861
Mreading-D7-5	61241	58698	58557	58606	56988	50719
Mreading-D7-6	62862	60167	59983	60076	58092	52288
Mreading-D7-7	40397	38493	38374	38435	37108	33752
Mreading-D7-8	21696	20597	20529	20564	19838	18343
Mreading-D7-9	48411	46427	46269	46368	44897	41047
neg-plate1	3022	1622	1619	1615	1431	1312
neg-plate2	2820	1524	1520	1519	1391	1279
neg-plate3	2940	2666	2550	2634	2412	2335
neg-reagent	6205	5595	5593	5590	5341	5094
Undetermined	3199802	1203173	1194129	1198232	879910	789275
